,text,Emotion
57,i have just had such a crappy week that i am still feeling all agitated and like the day wasn t what i wanted,neutral
58,i feel rebellious because i don t particularly like watching romcoms but i get the feeling that i may be pretty good at writing them,neutral
59,i feel reluctant to just leave her alone like that without helping her enough to repay her goodness to me,neutral
60,i am ashamed when i feel like that the moment i see terrified crying children and dead ones,neutral
61,i wake up in the morning and have my voice and my throat feels ok but by the afternoon its all scratchy again and i sound like marge simpson until the night when its so bad and my throat is so sore i just have to whisper,neutral
62,ive always been very nervous to do something like that as i feel like i am not really that talented to enter something into an official contest,neutral
63,i feel a bit pissed off because we went first,neutral
64,i feel satisfied knowing the dirt and hair is no longer in the car and house,neutral
65,i really like how the special edition really does feel special with songs on it,neutral
66,i would accept your gift without feeling mad,neutral
67,i feel hesitant to do it since i don t have any experience with programming and all,neutral
68,i was feeling particularly bitchy and i dont think i adequately expressed my appreciation for that,neutral
69,i do feel confused,neutral
70,im with you when your professor looks at you like a spitball when your friend is dying when you cry into your pillow at night when you feel the dangerous tickles of jealousy luring you down into its lair,neutral
71,i didn t feel rushed to finish millions of things and i was able to focus on each task separately,neutral
72,i feel so tortured,neutral
73,i dunno how it feels to be completely happy the real world has taught me about struggle but what i m going thru is nothing close to struggle,happiness
74,i feel like she has taken on the role of a grandmother to me since my beloved grandma is no longer with me,love
75,i fear that other people ask me about my feelings i am most reluctant to talk about things,neutral
76,i would have smiled except i was starting to feel like any more uptight comments and my jaw would fall right out of my head,neutral
77,i feel so comfortable around him,relief
78,i feel completely unsure of any boundaries or normalcy,neutral
79,i think of or feel gratitude i think of my kind and gracious heavenly father,neutral
80,im feeling really really left out and somewhat dissatisfied with everything,neutral
81,i simply said how sorry i am and just got out from her car and got into my house feeling restless,neutral
82,i am feeling weird and feel wanna know,neutral
83,i had an incredible feeling of frantic despair,neutral
84,i feel reluctant to sell but hey,neutral
85,i take a long sip and feel the cold sensation of the iced capp,neutral
86,i wasn t feeling pressured even if this was the longest race and the one i expected the most from,neutral
87,i also hope you understand why i feel so angry with you when you dont support the hat rule or when you turn up at a school event sans hat yourself,anger
88,i remember feeling the most terrified i had ever felt in my entire life and that its still affecting me now but ive never thought it accounted to trauma,neutral
89,i had for me to confess my feelings for her but still i couldnt bring myself to her for i was scared of losing her once more,neutral
90,im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,neutral
91,i pray that the eyes that read this the minds that comprehend this and the hearts that feel this will not be offended,neutral
92,im not afraid of going on my own but i feel like a lot of people were in groups and a part of me feels like it would be cool to have a small group to hang out with,neutral
93,the possibility of having failed the examination,neutral
94,i feel so thankful to be in a part of the country where i can train outdoors this late in the year and not have to bundle up or wear several layers,neutral
95,i am feeling rather grouchy too this morning since i didnt sleep last night on purpose,neutral
96,i feel like the earthquake has also shaken the foundations of my life and work,neutral
97,i might be able to recreate the feeling when i get back into the cold fog that awaits me tomorrow night,neutral
98,i woke up feeling positive i was totally in the mood for doing this and this evening i feel the same i had a banana shake for breakfast a chocolate shake for dinner and a sunday roast for tea,neutral
99,i would just go to the straight point rather than doing a defination of such as what is romance feeling or anger feeling or suspicious feelings,neutral
100,i feel so bitchy and mean and terrible,neutral
